142.10 38.96 47 2.82 -0.12 -2.70 1.20 2.50 -0.71 25 X Y 201107230434A
141.66 37.70 48 2.67 -0.41 -2.26 0.95 2.38 -0.88 25 X Y 201107241851A
140.97 35.18 15 0.84 -1.12 0.28 2.73 1.06 0.11 24 X Y 201107251154A
143.60 40.31 19 1.85 -0.03 -1.81 1.08 2.83 -0.39 24 X Y 201107280901A
141.16 37.00 53 3.86 0.09 -3.95 0.84 -1.41 -1.22 25 X Y 201107301853A
142.31 39.87 48 3.36 -0.15 -3.22 1.37 2.65 -0.83 24 X Y 201108011344A
138.39 34.65 19 0.94 -0.97 0.04 0.42 -0.15 0.13 25 X Y 201108011458A
141.25 37.02 50 0.66 -0.10 -0.56 0.37 0.43 -0.27 25 X Y 201108111822A
143.84 36.80 12 -2.18 1.24 0.94 0.22 0.58 1.06 25 X Y 201108171144A
141.71 37.69 48 3.19 -0.07 -3.12 -0.17 -1.19 -0.61 25 X Y 201108190536A
141.99 36.01 18 0.55 -0.10 -0.46 0.32 0.69 -0.22 25 X Y 201108221123A
141.54 36.22 28 1.75 -0.19 -1.55 0.73 2.08 -0.74 25 X Y 201109150800A
143.22 40.20 22 0.71 -0.00 -0.71 0.44 0.94 -0.13 26 X Y 201109161926A
143.82 40.25 32 3.11 -0.44 -2.67 1.20 2.61 -0.74 24 X Y 201109162011A
143.28 40.28 28 0.92 -0.05 -0.87 0.33 1.07 -0.16 25 X Y 201109162108A
143.55 40.11 28 3.78 -0.05 -3.73 1.84 4.54 -0.88 24 X Y 201109162136A
143.51 40.30 24 3.18 -0.39 -2.79 1.25 3.00 -0.64 24 X Y 201109162240A
142.93 40.33 33 2.89 -0.06 -2.83 1.89 2.93 -0.78 24 X Y 201109170734A
143.13 39.93 24 2.38 -0.16 -2.22 1.07 2.41 -0.54 24 X Y 201109180704A
141.48 37.56 53 3.25 -0.40 -2.85 0.84 2.38 -0.93 24 X Y 201110100245A
142.52 43.83 191 -0.76 0.93 -0.17 1.41 -0.25 1.40 25 X Y 201110210802A
141.65 37.32 41 1.35 -0.16 -1.19 0.48 1.27 -0.46 25 X Y 201111231924A
142.94 41.79 43 1.54 -0.36 -1.19 0.58 1.42 -0.68 25 X Y 201111241025A
